mois,moy_vivants,moy_naiss_mois,moy_morts_mois,moy_morts_juv_mois,moy_morts_enf_mois,moy_morts_adult_mois,med_vivants,std_vivants
161,1521927.71875,820135.53125,704686.28125,656152.03125,33670.15625,14864.09375,1544019.5,630844.018459904
162,1646799.75,886902.0625,762030.03125,709527.4375,36423.09375,16079.5,1671213.0,682632.7806317244
163,1782141.125,960179.875,824838.5,768052.84375,39401.84375,17383.8125,1808669.5,738642.8811208748
164,1928291.875,1038531.4375,892380.6875,830881.625,42676.90625,18822.15625,1956526.0,799311.6310945997
165,2086796.25,1124101.6875,965597.3125,899200.78125,46094.40625,20302.125,2117815.5,864992.6986813963
166,2258020.125,1216275.3125,1045051.4375,973036.9375,49969.65625,22044.84375,2292143.5,936120.5502536034
167,2443417.9375,1316585.53125,1131187.71875,1053330.1875,53990.75,23866.78125,2479711.0,1012849.0612368821
168,2643972.28125,1424264.78125,1223710.4375,1139411.15625,58508.28125,25791.0,2683548.0,1095923.085524203
169,2861174.84375,1541735.5625,1324533.0,1233378.53125,63218.1875,27936.28125,2903197.5,1185866.70804269
170,3096186.21875,1667884.5,1432873.125,1334260.6875,68413.21875,30199.21875,3141675.0,1283375.3993632554
171,3350468.1875,1805200.46875,1550918.5,1444061.5625,74141.375,32715.5625,3399996.5,1388635.5511804214
172,3625431.6875,1952879.84375,1677916.34375,1562408.375,80113.0625,35394.90625,3679158.0,1502830.3413070377
173,3923444.40625,2113839.40625,1815826.6875,1690859.75,86714.78125,38252.15625,3981548.5,1626336.134957728
174,4245692.875,2286736.03125,1964487.5625,1829184.6875,93938.84375,41364.03125,4308286.0,1760157.2340430939
175,4594725.1875,2475658.875,2126626.5625,1980353.46875,101504.71875,44768.375,4661306.0,1904667.2158346726
176,4971910.15625,2678092.65625,2300907.6875,2142541.78125,109944.53125,48421.375,5044146.0,2061053.53443547
177,5380217.3125,2898885.6875,2490578.53125,2319157.0,118964.84375,52456.6875,5458319.5,2230203.193820793
178,5821824.34375,3135849.125,2694242.09375,2508552.65625,128863.90625,56825.53125,5906846.5,2413285.24329144
179,6299957.03125,3394527.625,2916394.9375,2715719.375,139232.40625,61443.15625,6391729.5,2611452.705680098
180,6817366.65625,3672133.9375,3154724.3125,2937652.0,150642.5625,66429.75,6916952.5,2826029.6571101923
181,7377125.28125,3973887.90625,3414129.28125,3179128.71875,163060.0,71940.5625,7485507.0,3057556.9098895285
182,7983267.09375,4300622.71875,3694480.90625,3440249.53125,176407.34375,77824.03125,8098997.0,3308992.504507777
183,8638563.84375,4653736.1875,3998439.4375,3723121.5625,191013.0625,84304.8125,8763411.0,3580360.611436927
184,9348145.53125,5035483.375,4325901.6875,4028133.0625,206621.6875,91146.9375,9482404.0,3874444.8628454343
185,10115315.71875,5449181.65625,4682011.46875,4359709.875,223662.3125,98639.28125,10261384.5,4191937.4941881527
186,10945975.28125,5896313.875,5065654.3125,4716986.0,241896.84375,106771.46875,11103166.5,4536766.77296801
187,11844467.875,6380735.875,5482243.28125,5104717.25,261948.78125,115577.25,12014141.5,4909082.274797008
188,12817042.375,6904401.09375,5931826.59375,5523639.875,283227.125,124959.59375,12999246.5,5312517.035202639
189,13869325.625,7470790.0625,6418506.8125,5976658.6875,306571.9375,135276.1875,14066343.5,5748393.4570714235
190,15008087.40625,8086250.96875,6947489.1875,6469195.28125,331892.34375,146401.5625,15220996.0,6220679.269284218
191,16239951.375,8746627.46875,7514763.5,6997225.15625,359141.0625,158397.28125,16469357.5,6731059.948606158
192,17573962.0,9468341.875,8134331.25,7574470.65625,388386.28125,171474.3125,17824195.5,7283876.487729362
